fecha,categoria,producto,region,cantidad,monto
2025-11-24,Electronica,Auriculares,Mendoza,4,25477.61
2025-03-13,Electronica,Parlante,CABA,1,53553.83
2025-01-16,Electronica,Cargador,GBA Norte,1,45976.62
2025-10-15,Indumentaria,Medias,Cordoba,5,20619.22
2025-01-04,Indumentaria,Zapatillas,GBA Sur,4,25730.55
2025-06-22,Electronica,Auriculares,Cordoba,6,9607.76
2025-11-06,Hogar,Sarten,Mendoza,2,41888.81
2025-07-13,Electronica,Parlante,GBA Sur,6,74817.02
2025-10-23,Indumentaria,Remera,CABA,5,59852.44
2025-02-10,Indumentaria,Remera,Cordoba,6,25739.65
2025-03-25,Hogar,Almohada,GBA Norte,2,60645.59
2025-11-08,Indumentaria,Medias,Mendoza,8,22788.17
2025-07-14,Hogar,Vela,GBA Norte,1,61930.67
2025-04-28,Electronica,Mouse,Cordoba,4,24828.94
2025-10-18,Hogar,Lampara,Mendoza,8,45431.58
2025-03-15,Hogar,Lampara,GBA Norte,5,67304.02
2025-10-27,Alimentos,Galletitas,Cordoba,3,33217.68
2025-09-18,Alimentos,Cafe,CABA,3,77638.16
2025-11-18,Indumentaria,Zapatillas,Rosario,7,6653.97
2025-11-02,Alimentos,Galletitas,GBA Sur,1,87425.98
2025-12-15,Electronica,Parlante,GBA Sur,6,69405.29
2025-02-27,Hogar,Toalla,GBA Norte,5,41381.41
2025-09-14,Indumentaria,Medias,CABA,5,78476.15
2025-11-24,Juguetes,Cartas,GBA Norte,3,14602.69
2025-10-04,Juguetes,Muñeco,Rosario,1,29849.89
2025-02-27,Hogar,Almohada,GBA Norte,2,6155.34
2025-02-13,Alimentos,Cafe,Rosario,3,69159.26
2025-12-04,Alimentos,Galletitas,GBA Norte,7,24590.04
2025-04-19,Juguetes,Rompecabezas,Mendoza,6,28742.75
2025-08-13,Juguetes,Pelota,CABA,2,23063.6
2025-06-23,Electronica,Parlante,Rosario,4,21480.21
2025-01-04,Electronica,Auriculares,GBA Norte,1,6998.63
2025-06-19,Electronica,Parlante,GBA Norte,8,25784.48
2025-04-20,Juguetes,Rompecabezas,Mendoza,8,84260.77
2025-05-05,Alimentos,Yerba,GBA Norte,7,9395.0
2025-07-01,Alimentos,Yerba,Cordoba,1,77881.47
2025-12-11,Electronica,Auriculares,Cordoba,2,65811.01
2025-05-08,Indumentaria,Pantalon,Rosario,7,40926.61
2025-04-04,Hogar,Toalla,GBA Norte,2,78829.25
2025-08-15,Juguetes,Muñeco,CABA,1,59040.9
2025-02-17,Indumentaria,Pantalon,Cordoba,4,44222.06
2025-07-25,Electronica,Cargador,Cordoba,7,1191.83
2025-05-16,Alimentos,Fideos,Cordoba,8,62996.64
2025-03-21,Indumentaria,Campera,GBA Norte,1,87215.13
2025-06-10,Electronica,Auriculares,Rosario,3,43434.18
2025-01-30,Juguetes,Muñeco,GBA Norte,2,7098.4
2025-12-12,Indumentaria,Zapatillas,CABA,4,84802.06
2025-10-24,Juguetes,Muñeco,Rosario,6,8296.52
2025-05-14,Indumentaria,Campera,GBA Norte,3,24639.69
2025-12-10,Hogar,Toalla,GBA Sur,2,83682.63
2025-01-05,Alimentos,Galletitas,Rosario,2,89652.58
2025-10-03,Indumentaria,Medias,GBA Sur,6,12788.63
